owasp,language,avg_score,n
ASI01,es-ES,5.82,17
ASI02,ca-ES,5.75,4
ASI02,es-ES,5.92,13
ASI03,es-ES,3.85,13
ASI04,es-ES,7.39,18
LLM01,es-ES,2.11,376
LLM01,es-EU,1.66,76
LLM01,es-GL,1.93,76
LLM01,eu-ES,0.97,76
LLM01,gl-ES,1.59,76
LLM02,ca-ES,3.61,90
LLM02,es-ES,3.99,632
LLM02,es-EU,3.6,86
LLM02,es-GL,3.02,86
LLM02,eu-ES,3.23,87
LLM02,gl-ES,3.37,87
LLM03,es-ES,2.0,44
LLM03,es-EU,0.89,18
LLM03,es-GL,1.78,18
LLM03,eu-ES,1.17,18
LLM03,gl-ES,2.06,18
LLM04,es-ES,2.62,42
LLM04,es-EU,1.69,16
LLM04,es-GL,1.31,16
LLM04,eu-ES,2.5,16
LLM04,gl-ES,1.0,16
LLM05,es-ES,1.44,34
LLM05,es-EU,2.58,12
LLM05,es-GL,3.33,12
LLM05,eu-ES,2.5,12
LLM05,gl-ES,2.33,12
LLM06,es-ES,3.13,160
LLM06,es-EU,3.27,30
LLM06,es-GL,1.73,30
LLM06,eu-ES,1.73,30
LLM06,gl-ES,0.93,30
LLM07,es-ES,2.91,146
LLM07,es-EU,1.33,18
LLM07,es-GL,1.72,18
LLM07,eu-ES,0.5,18
LLM07,gl-ES,1.67,18
LLM08,es-ES,0.86,36
LLM08,es-EU,3.33,12
LLM08,es-GL,3.58,12
LLM08,eu-ES,1.58,12
LLM08,gl-ES,1.5,12
LLM09,es-ES,2.54,169
LLM09,es-EU,1.85,34
LLM09,es-GL,1.88,34
LLM09,eu-ES,2.41,34
LLM09,gl-ES,2.26,34
LLM10,es-ES,0.65,34
LLM10,es-EU,1.83,12
LLM10,es-GL,0.42,12
LLM10,eu-ES,1.0,12
LLM10,gl-ES,1.0,12
